Set	Line	KO	Gene	Sign
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GM364	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MRGPRX2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MMP3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SCARA5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CERK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	1700007G11RIK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SEC14L2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PCSK9	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	P2RX7	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	THSD4	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PITPNC1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CHN1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADAMTSL3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ELMO1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SAPCD1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PDZRN3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SEMA7A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADGRA2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SDC3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SLCO4A1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FMNL1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PEX5L	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL6A5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PTAR1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FAM129A	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ARHGAP29	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SEMA6A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	XLR3C	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DTNA	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GREM1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IL1RL1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PRPS2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PCNX	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LEPR	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NOTUM	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CSGALNACT1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SEMA6D	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IL11	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLA2G5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DLL1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLCG2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IQCG	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CD84	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NPEPL1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL5A2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RENBP	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NGEF	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	OGN	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SP140	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CD81	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PTCHD1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RGCC	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SDPR	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	BGN	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HSPA12A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IL1RAP	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	1500011K16RIK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ARHGAP6	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLPP6	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SH3KBP1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PDHA1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLAU	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ARHGAP30	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LAMC2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NGFR	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADGRG1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LCN2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	1700024P16RIK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZBTB4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RALGDS	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LNCENC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FGF10	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	UST	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SLPI	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TBX3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IGSF3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AVIL	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DYNAP	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLTP	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GDPD1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TRAF1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	OPTN	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IL13RA1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TENM4	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RCAN2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADM2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CRTAP	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LXN	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GATA3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NHSL1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ITGA6	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MURC	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SULF2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ECHDC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SIGLECG	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CSRP2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CTPS2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MMP10	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FAM198B	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL6A1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CHRND	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NPHP1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CDH5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PTK7	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ASIC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FLRT3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HTATIP2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL3A1	-1
